Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Tharawada Dam,23.3438,69.3977,Irrigation,Local River,Nakhtarana,Kachchh,103.0,Earthen,581.0,17.2,1.8018,5,Luvisols,Fluvisols,"Indus, River",194.1681,0.0,869.1,463.8,642.8,620.9,773.9,674.1,22.18,85.0,83.5,73.0,67.0,60.0,58.5,53.5,41.0,86.5,98.0,88.0,90.0
Thebi Dam,21.6233,71.2133,Irrigation,Thebi,Amreli,Amreli,119.0,Earthen,4950.23,21.05,1.8018,3,Vertisols,Cambisols,"Tapi, River",172.5408,0.0001,1070.7,1124.8,682.9,673.2,1245.6,959.44,17.08,51.5,52.5,60.5,54.5,58.5,29.5,60.5,49.0,47.5,24.0,69.0,79.0
Thikariyala Dam,22.4111,71.0905,Irrigation,T/Machhu,Wankaner,Rajkot,194.0,Earthen,651.0,13.2,5.4054,3,Vertisols,Cambisols,"Mahi, River",204.3138,0.0,991.1,1019.9,818.1,663.6,1490.1,996.56,18.79,101.0,94.5,79.5,71.5,78.5,76.5,103.5,91.5,37.0,108.5,92.0,89.0
Thol Dam,23.148,72.4013,,,Kadi,Mahesana,49.0,,,,2.7027,3,Vertisols,Cambisols,"Mahi, River",104.6683,0.0,1145.0,1063.1,998.5,1042.0,1239.7,1097.66,19.36,90.0,86.5,77.0,78.5,86.5,98.5,49.0,76.0,50.0,110.5,102.0,91.0
Thoralia Mi Dam,21.5111,71.9622,Irrigation,T/Shetrunji,Sihor,Bhavnagar,65.0,Earthen,640.0,18.0,0.0,3,Vertisols,Cambisols,"Tapi, River",94.5792,0.0001,920.8,1327.5,773.9,835.9,1416.9,1055.0,15.45,95.0,68.0,59.0,69.5,66.0,71.0,83.5,75.5,37.5,94.5,80.0,70.0
Toda Dam,21.6127,71.8836,Irrigation,Local Nala,Sihor,Bhavnagar,96.0,Earthen,940.0,17.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",106.1016,0.0001,981.1,1150.6,796.1,707.7,1393.8,1005.86,16.61,76.5,78.0,75.5,76.5,80.0,100.5,74.5,86.0,99.0,104.5,98.0,79.0
TrivniTranga Dam,22.4238,71.1863,Irrigation,Jamburi,Chotila,Surendranagar,195.0,Earthen,1290.0,13.6,0.0,3,Vertisols,Cambisols,"Mahi, River",194.4392,0.0,950.7,966.0,752.8,639.5,1411.9,944.18,18.64,86.5,76.5,81.5,71.5,68.5,72.5,86.5,85.0,122.0,113.5,104.0,92.0
Turkha Dam,22.1705,71.6538,Irrigation,Localnalla,Botad,Bhavnagar,91.0,Earthen,1041.0,16.0,0.0,3,Vertisols,Cambisols,"Mahi, River",149.6143,0.0,860.8,899.9,748.4,700.7,1690.0,979.96,18.22,51.5,62.0,51.5,53.5,49.5,49.0,65.0,33.5,25.5,59.0,71.0,66.0
Uben Dam,21.6286,70.6311,Irrigation,Uben,Bhesan Mahal,Junagadh,95.0,Earthen,4665.0,18.87,2.7027,3,Vertisols,Cambisols,"Tapi, River",231.5715,0.0001,1247.7,1118.6,844.7,1033.8,1292.0,1107.36,18.92,92.0,80.0,69.0,64.0,77.0,57.0,35.0,94.0,84.5,92.5,81.0,83.0
Ukai Dam,21.2494,73.5908,"Flood Control,Hydroelectric,Irrigation",Tapi,Songadh,Tapi,50.0,Earthen / Gravity & Masonry,4927.0,81.0,0.0,3,Leptosols,Vertisols,"Ukai, Reservoir ",14.6145,0.002,1206.3,1829.7,1344.2,1007.2,1777.6,1433.0,15.96,82.0,61.5,83.5,65.0,64.5,68.5,50.0,122.0,48.0,110.0,85.0,68.0
Uma Sagar Dam,21.8802,70.0983,,,Jam Jodhpur,Jamnagar,64.0,,,,0.0,3,Vertisols,Cambisols,"Tapi, River",291.1829,0.0001,1346.4,861.5,792.3,759.0,1499.9,1051.82,20.02,117.5,101.0,68.5,75.0,63.0,44.5,48.0,113.5,43.5,95.0,80.0,95.0
Umarala Dam,22.0302,70.3061,Irrigation,Local Voklo,Kalavad,Jamnagar,122.0,Earthen,80.0,14.8,0.9009,3,Vertisols,Cambisols,"Tapi, River",275.06,0.0001,1242.8,965.6,830.0,629.3,1372.3,1008.0,19.16,107.0,88.0,68.0,69.5,63.0,45.5,40.0,92.0,59.5,98.0,78.0,85.0
Umaria Dam,22.7736,74.0666,Irrigation,Hadaf,Limkheda,dahod,290.0,Earthen,41.0,22.0,18.018,3,Luvisols,Regosols,"Unknown, Lake",10.539,-0.0004,1130.8,1313.2,927.2,1297.7,1530.2,1239.82,16.02,114.0,103.5,77.5,75.0,82.0,65.5,39.5,86.0,95.0,111.5,109.0,68.0
Umrapar Dam,23.4475,69.2013,Irrigation,Parelwari Nadi,Nakhtarana,Kachchh,65.0,Earthen,1104.0,27.05,0.0,5,Cambisols,Luvisols,"Indus, River",171.1894,0.0,699.4,415.9,609.6,586.5,754.9,613.26,21.67,76.0,75.5,68.5,59.5,63.5,53.5,22.0,56.0,79.0,83.5,77.0,84.0
Umri Dam,24.193,72.7658,Irrigation,T/Sabarmati,Danta,Banas Kantha,272.0,Earthen,154.0,17.0,10.8108,3,Vertisols,Luvisols,"Som Kahmla, River",125.2381,-0.0002,790.7,977.7,1045.5,1035.0,1049.0,979.58,14.71,115.5,110.0,78.5,81.5,106.5,115.0,112.5,108.5,3.0,116.5,114.0,117.0
Und I Dam,22.4055,70.4038,Irrigation,Und,Dhrol,Jamnagar,46.0,Earthen / Gravity & Masonry,6198.0,25.45,8.1081,4,Vertisols,Cambisols,"Mahi, River",274.9001,0.0,1278.2,1028.5,899.7,710.4,1300.6,1043.48,22.06,79.5,94.5,66.0,76.0,75.0,46.5,52.5,33.5,89.0,98.0,81.0,82.0
Und II(Gunatit Sarover) Dam,22.6349,70.3616,Irrigation,Und,Jodiya,Jamnagar,10.0,Earthen,3490.0,18.75,0.0,4,Unknown,Unknown,"Mahi, River",279.7884,0.0,1194.5,943.5,1007.0,714.6,1215.9,1015.1,21.4,79.5,93.0,71.0,76.0,81.0,53.0,61.0,99.5,51.0,102.0,79.0,62.0
Utavali (Gunda) Dam,22.1905,71.7933,Irrigation,Utavali,Dhandhuka,Ahmadabad,46.0,Earthen / Gravity & Masonry,5080.0,20.0,0.0,3,Vertisols,Cambisols,"Mahi, River",135.1034,0.0,920.7,905.5,747.0,761.5,1715.9,1010.12,18.16,79.0,56.5,58.0,62.0,60.0,49.5,72.0,122.0,68.5,46.5,73.0,64.0
Vachappari Dam,22.0433,70.8672,,Vachappari,Kotda Sangani,Rajkot,165.0,Earthen / Gravity & Masonry,1814.0,29.5,1.8018,3,Vertisols,Cambisols,"Tapi, River",221.3766,0.0001,1088.6,945.6,780.5,785.3,1557.7,1031.54,17.58,80.0,87.0,69.5,74.5,78.0,79.0,82.0,80.5,31.0,90.0,95.0,93.0
Vadal Dam,21.4502,71.8452,,T/ Shetrunji,Palitana,Bhavnagar,121.0,Earthen,164.0,17.0,5.4054,3,Leptosols,Vertisols,"Tapi, River",104.5222,0.0001,927.9,1227.1,760.0,754.8,1436.0,1021.16,15.98,83.0,77.5,67.0,71.0,70.5,92.5,49.0,62.5,41.5,112.0,87.0,68.0
Vadali Dam,22.1947,70.8824,,T/Bhadr,Upleta,Rajkot,188.0,Earthen,1390.0,13.9,1.8018,3,Vertisols,Cambisols,"Tapi, River",227.136,0.0001,1022.3,871.1,766.2,682.3,1414.7,951.32,18.01,89.5,81.0,66.0,59.0,64.0,73.5,78.0,73.0,122.0,100.0,92.0,88.0
Vadatalav Dam,22.4916,73.5544,,Kotar,Halol,Panch Mahals,128.0,Earthen,2669.45,10.0,0.0,3,Vertisols,Cambisols,"Mahi, River",49.2485,0.0,1156.5,1212.0,1122.8,1217.6,1562.3,1254.24,15.53,116.0,105.0,94.5,84.5,90.5,81.0,97.5,68.5,97.5,5.5,121.0,88.0
Vadekhan Dam,21.7825,70.0516,Irrigation,Localvehla,Upleta,Rajkot,102.0,Earthen,338.0,16.0,0.0,3,Luvisols,Vertisols,"Tapi, River",293.575,0.0001,1463.8,937.1,860.4,1006.2,1569.5,1167.4,21.15,101.0,103.0,76.0,79.0,80.0,62.0,28.0,88.5,47.0,110.5,92.0,92.0
Vadi (mangarwal) Dam,21.6275,71.1652,Irrigation,Vadi,Amreli,Amreli,127.0,Earthen / Gravity & Masonry,2891.0,13.03,0.0,3,Vertisols,Cambisols,"Tapi, River",177.4835,0.0001,1070.7,1124.8,682.9,673.2,1245.6,959.44,17.08,54.0,90.0,14.5,56.5,43.5,14.0,29.5,41.0,0.5,60.5,39.0,69.0
Vadia Dam,21.6341,70.9847,Irrigation,Venu,Kunkavavvadia,Amreli,164.0,Earthen / Gravity & Masonry,2476.0,16.45,0.0,3,Vertisols,Cambisols,"Tapi, River",195.835,0.0001,1148.2,1157.3,719.5,771.9,1298.9,1019.16,17.74,101.0,77.5,70.5,63.0,56.0,62.0,63.0,32.0,122.0,94.0,114.0,102.0
Vadisang Dam,22.2805,70.3627,Irrigation,Sarvo,Jamnagar,Jamnagar,90.0,Earthen / Gravity & Masonry,2476.0,12.5,0.9009,4,Vertisols,Cambisols,"Tapi, River",279.5386,0.0001,1214.7,924.3,945.2,653.9,1296.0,1006.82,21.38,124.0,113.5,62.5,73.0,73.5,45.0,71.0,79.0,101.5,106.5,97.0,93.0
Vagadi Dam,23.8011,72.8105,Irrigation,Local Vangha,Himatnagar,Sabar Kantha,133.0,Earthen,470.0,17.5,2.7027,3,Vertisols,Luvisols,"Mahi, River",117.1839,0.0002,945.0,794.7,1048.2,1127.4,1123.8,1007.82,15.81,90.5,85.0,67.5,62.5,82.0,71.0,89.5,85.5,85.0,99.5,85.0,96.0
Vagas Dam,23.0197,73.0699,Irrigation,Vehla,Kapadvanj,Kheda,81.0,Earthen,3414.0,10.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",64.1202,0.0,984.1,1270.2,913.4,1108.0,1325.4,1120.22,16.83,74.0,75.0,57.0,66.0,72.0,68.0,82.5,68.0,28.5,105.5,96.0,66.0
Vagdokyari Dam,24.193,72.7658,Irrigation,,Danta,Banas Kantha,272.0,Earthen,158.0,17.0,10.8108,3,Vertisols,Luvisols,"Som Kahmla, River",125.2381,-0.0002,790.7,977.7,1045.5,1035.0,1049.0,979.58,14.71,115.5,110.0,78.5,81.5,106.5,115.0,112.5,108.5,3.0,116.5,114.0,117.0
Vaghvadarada Dam,21.0963,71.7769,Irrigation,Local Stream,Mahuva,Bhavnagar,10.0,Earthen,809.0,10.2,0.9009,3,Vertisols,Fluvisols,"Tapi, River",110.5701,0.0001,877.0,1576.0,719.0,817.4,1210.6,1040.0,15.97,116.0,108.5,88.0,91.5,89.0,95.0,43.0,96.5,109.0,112.0,84.0,71.0
Vaidy Dam,23.3183,73.4058,Irrigation,Watrak,Meghraj,Sabar Kantha,124.0,Earthen,1008.0,19.1,43.2432,3,Vertisols,Leptosols,"Mahi, River",41.1578,0.0002,971.6,1224.6,878.3,1595.3,1210.0,1175.96,17.15,81.5,85.5,64.5,64.0,86.5,88.0,91.0,109.5,86.5,108.5,109.0,86.0
Vakdi Ajnava Dam,23.1158,73.8202,Irrigation,Kotar,Santrampur,Panch Mahals,165.0,Earthen,296.0,21.2,9.9099,3,Vertisols,Leptosols,"Mahi, River",17.6516,0.0002,988.0,1160.1,947.5,1232.6,1377.1,1141.06,15.76,103.0,96.0,73.0,70.5,87.0,84.0,51.0,48.5,123.0,118.0,111.0,80.0
Valam Dam,23.715,72.4641,Irrigation,,Visnagar,Mahesana,113.0,,,,0.9009,3,Cambisols,Luvisols,"Mahi, River",145.3524,0.0002,1050.6,764.5,991.9,1065.3,955.4,965.54,16.36,111.5,106.5,72.5,70.5,75.5,59.5,31.0,25.0,86.5,96.0,107.0,106.0
Valavad Dam,21.7152,71.9333,Irrigation,Local Stream,Sihor,Bhavnagar,43.0,Earthen,526.0,13.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",106.4132,0.0001,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,97.0,100.0,89.5,81.5,88.0,85.5,77.5,88.5,21.5,110.5,89.0,79.0
Vali Dam,21.7799,73.3319,Irrigation,Local Khadi,Jhagadia,Bharuch,75.0,Earthen,435.0,20.91,3.6036,3,Vertisols,Luvisols,"Narmada, River",11.8008,-0.0001,1182.2,1183.3,1293.9,993.5,1774.2,1285.42,15.6,94.5,91.0,87.5,90.0,104.5,101.0,66.0,112.0,111.0,127.0,111.0,77.0
Vamaka Dam,23.3041,70.3505,Irrigation,Vamaka,Bhachau,Kachchh,48.0,Earthen,183.0,21.25,1.8018,5,Vertisols,Arenosols,"Indus, River",279.3222,0.0001,718.7,662.2,800.2,695.9,771.2,729.64,18.37,71.5,60.5,64.5,56.0,67.5,55.5,55.0,50.0,71.5,76.5,72.0,72.0
Vanala Dam,22.0636,71.4355,Irrigation,Khari,Jasdan,Rajkot,156.0,Earthen,477.0,15.5,1.8018,3,Vertisols,Cambisols,"Tapi, River",170.3511,0.0001,906.2,915.7,642.9,664.8,1348.4,895.6,16.72,88.0,78.0,53.5,62.0,60.5,69.5,68.0,83.5,34.0,87.5,80.0,80.0
Vansiali Dam,21.3402,71.4613,Irrigation,Local Stream,Kundla,Amreli,137.0,Earthen,267.0,18.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",142.255,0.0001,1000.2,1123.9,764.7,774.4,1180.7,968.78,15.33,95.5,79.0,72.5,70.0,72.0,75.0,79.0,63.5,31.5,105.5,76.0,70.0
Vanthali Dam,21.4611,70.3716,Irrigation,T/Bhadr,Gondal,Rajkot,37.0,Earthen,100.0,10.0,0.0,3,Vertisols,Luvisols,"Tapi, River",255.7745,0.0001,1631.4,1085.8,936.7,1043.3,1542.1,1247.86,18.33,111.0,102.0,77.5,87.0,89.0,73.0,33.5,87.0,122.0,103.5,92.0,104.0
Vardhari Dam,23.0883,73.4538,Irrigation,Shedhi,Lunavada,Panch Mahals,97.0,Earthen,381.0,15.9,0.9009,3,Vertisols,Luvisols,"Mahi, River",41.4934,0.0002,945.8,1189.2,874.2,1277.0,1333.7,1123.98,15.96,100.5,94.0,85.0,88.5,105.0,97.5,63.5,73.5,123.5,122.0,111.0,84.0
Vartu II Dam,21.9247,69.7036,Irrigation,Vadi,Bhanvad,Jamnagar,29.0,Earthen,6789.3,23.75,6.3063,3,Unknown,Unknown,"Indus, River",330.8882,0.0,1552.8,1063.0,785.9,874.1,1493.8,1153.92,21.07,107.5,71.5,56.0,106.5,91.5,44.0,30.0,90.5,94.0,79.5,33.0,77.0
Vartu I Dam,22.0166,69.8113,Irrigation,Vartu,Bhanvad,Jamnagar,78.0,Earthen / Gravity & Masonry,2331.0,28.34,1.8018,4,Vertisols,Cambisols,"Tapi, River",323.5898,0.0001,1317.4,1044.2,761.2,811.4,1571.1,1101.06,21.46,66.0,72.0,45.0,73.0,100.0,54.0,57.5,58.0,67.0,95.0,82.0,82.0
Vasatava Dam,23.293,70.3388,Irrigation,Khari River,Bhachau,Kachchh,36.0,Earthen,157.0,22.0,1.8018,5,Vertisols,Luvisols,"Indus, River",278.8354,0.0001,718.7,662.2,800.2,695.9,771.2,729.64,18.37,50.0,66.0,52.5,58.0,55.5,48.5,56.5,28.5,60.5,84.0,76.0,65.0
Vavor Dam,22.8394,69.7238,Irrigation,Local Stream,Mundra,Kachchh,16.0,Earthen,1240.0,10.12,0.0,5,Vertisols,Arenosols,"Indus, River",255.4349,0.0,1319.3,774.9,912.8,843.8,1427.8,1055.72,24.8,68.0,56.5,60.5,64.0,63.0,65.5,67.5,74.5,122.0,82.5,101.0,77.0
Vayor Dam,23.4175,68.6966,Irrigation,Local River,Lakhpat,Kachchh,33.0,Earthen,960.0,12.8,0.9009,5,Arenosols,Cambisols,"Indus, River",136.002,0.0,602.7,450.5,648.0,577.1,738.1,603.28,19.28,81.5,74.0,68.5,63.5,63.0,59.0,47.5,63.0,95.5,108.0,91.0,81.0
Veardi I Dam,21.7644,72.1522,Irrigation,Bhadthari,Bhanvad,Jamnagar,23.0,Earthen / Gravity & Masonry,2060.0,13.76,0.0,3,Vertisols,Cambisols,"Tapi, River",90.7022,0.0001,1001.8,1251.2,826.6,777.1,1623.4,1096.02,17.64,50.5,48.5,44.5,45.0,46.0,50.5,48.5,47.5,31.0,59.0,47.0,43.0
Vekari Dam,21.6219,70.0658,Irrigation,T/Bhadr,Gondal,Rajkot,20.0,Earthen,1160.0,11.6,0.9009,3,Vertisols,Cambisols,"Tapi, River",289.1892,0.0001,1626.9,1013.2,946.9,1125.5,1549.4,1252.38,20.45,21.0,6.0,82.0,58.0,67.0,47.0,47.0,93.0,48.0,97.0,87.0,80.0
Vengadi Dam,22.8333,69.3552,Irrigation,Mandvi,Mandvi,Kachchh,8.0,Earthen,1737.0,16.45,0.9009,5,Vertisols,Cambisols,"Indus, River",229.1742,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,64.0,60.0,54.0,51.5,62.0,48.5,41.5,70.5,43.5,94.5,70.0,77.0
Venu Dam,21.9775,70.0269,Irrigation,Venu,Jam Jodhpur,Jamnagar,117.0,Earthen,299.0,19.2,1.8018,3,Vertisols,Cambisols,"Tapi, River",300.9918,0.0001,1266.9,921.0,793.8,786.2,1563.2,1066.22,19.31,72.5,75.0,59.0,71.5,74.0,44.0,48.5,26.0,37.0,96.5,76.0,77.0
Venu II Dam,21.7855,70.1725,Irrigation,Bhadar,Upleta,Rajkot,49.0,Earthen / Gravity & Masonry,3336.0,21.9,0.0,3,Vertisols,Cambisols,"Tapi, River",281.4072,0.0001,1525.2,926.7,832.3,1048.3,1666.8,1199.86,22.96,75.0,70.5,41.5,71.5,121.0,52.0,43.5,45.0,20.0,55.0,48.0,77.0
Ver II Dam,22.8333,69.3552,Irrigation,Ver,Mandvi,Surat,8.0,Gravity & Masonry,1360.0,28.7,0.9009,5,Vertisols,Cambisols,"Indus, River",229.1742,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,64.0,60.0,54.0,51.5,62.0,48.5,41.5,70.5,43.5,94.5,70.0,77.0
Veradi II Dam,21.9841,69.8147,,,Bhanvad,Jamnagar,55.0,,,,7.2072,3,Vertisols,Cambisols,"Tapi, River",322.3483,0.0001,1334.3,945.7,739.5,818.6,1515.5,1070.72,20.69,124.5,87.5,54.5,69.0,105.5,46.0,43.5,84.5,63.5,97.0,73.0,75.0
Veri Dam,22.0008,70.8041,,,Gondal,Rajkot,136.0,,,,5.4054,3,Vertisols,Cambisols,"Tapi, River",225.6024,0.0001,1149.4,926.8,774.7,795.4,1512.3,1031.72,17.93,90.0,78.0,63.0,45.5,60.5,46.0,71.0,58.0,23.0,102.0,86.0,83.0
Vigodi Dam,23.495,69.0894,Irrigation,Makdawali Nadi,Nakhtarana,Kachchh,88.0,Earthen,670.73,15.25,0.0,5,Arenosols,Luvisols,"Indus, River",158.9023,0.0,565.3,413.6,594.2,578.2,751.1,580.48,20.54,86.5,84.5,64.0,58.5,60.0,52.0,27.0,69.0,75.5,99.5,79.0,87.0
Vijarkhi Dam,22.4008,70.1841,Irrigation,FulzarNani,Jamnagar,Jamnagar,41.0,Earthen,1341.0,11.0,0.0,4,Vertisols,Cambisols,"Mahi, River",297.4918,0.0,1250.7,1014.8,895.2,760.9,1365.9,1057.5,23.02,76.5,78.5,38.0,47.5,54.5,29.0,55.0,48.0,50.5,100.5,67.0,64.0
Vijaysagar Dam,23.0277,69.4577,Irrigation,Rukmawati,Mandvi,Kachchh,79.0,Earthen,732.0,26.23,0.0,5,Unknown,Unknown,"Indus, River",221.1809,0.0,1221.7,768.3,809.7,818.6,1024.0,928.46,21.64,42.0,40.5,42.5,29.0,55.0,55.5,55.0,69.0,39.0,94.0,72.0,76.0
Virani Dam,23.1166,69.3769,Irrigation,Mandvi,Mandvi,Kachchh,140.0,Earthen,932.0,14.87,1.8018,5,Luvisols,Vertisols,"Indus, River",208.4176,0.0,919.1,703.5,767.7,822.4,1027.8,848.1,19.48,91.5,83.0,72.0,64.0,66.0,62.0,24.5,77.0,31.5,97.0,94.0,106.0
Virpur Dam,23.6488,72.9563,Irrigation,Virpurvangha,Vijayanagar Mahal,Sabar Kantha,155.0,Earthen,778.0,15.0,1.8018,3,Vertisols,Cambisols,"Mahi, River",96.1609,0.0002,1130.7,841.4,1084.3,1210.6,1143.2,1082.04,17.03,9.0,104.0,83.0,67.0,80.0,85.0,35.0,84.5,70.5,101.0,86.0,86.0
Vrajmi Dam,21.0611,70.2955,Irrigation,Vrajmi,Maliya Hatina,Junagadh,21.0,Gravity & Masonry,102.0,14.88,0.9009,3,Vertisols,Luvisols,"Tapi, River",263.7303,0.0001,1623.7,1006.3,1082.4,1088.6,1408.1,1241.82,17.26,112.5,85.0,77.5,96.0,94.0,74.5,73.0,121.5,117.5,120.0,85.0,90.0
Wadhwan Jojwa Dam,22.1758,73.4919,Irrigation,Dhadhar,Dabhoi,Vadodara,53.0,Earthen,239.26,3.05,0.0,3,Unknown,Unknown,"Narmada, River",22.5573,0.0001,1141.4,1105.6,1147.6,1213.6,1678.8,1257.4,15.98,79.5,94.5,108.0,106.5,102.5,121.0,73.5,122.0,50.0,121.0,101.0,58.0
Wandh Dam,23.2838,69.6811,Irrigation,Khari,Bhuj,Kachchh,80.0,Earthen,765.24,11.19,0.9009,5,Luvisols,Cambisols,"Indus, River",221.8014,0.0,642.4,583.9,660.2,602.9,759.2,649.72,19.32,67.0,63.5,57.0,53.0,59.0,55.5,58.0,63.5,60.0,77.0,70.0,98.0
WandhMandvi Dam,22.8463,69.3527,Irrigation,Wand,Mandvi,Kachchh,4.0,Earthen,825.0,13.0,0.9009,5,Vertisols,Cambisols,"Indus, River",227.9276,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,79.0,72.0,65.5,71.0,72.0,65.0,25.0,76.5,41.5,98.0,77.0,81.0
WanklaeswarBhey Dam,22.7002,73.9863,Irrigation,Bed,Devgadh Bariya,dahod,223.0,Earthen / Gravity & Masonry,151.0,25.6,24.3243,3,Vertisols,Regosols,"Unknown, Lake",1.1047,-0.0004,1064.2,1294.4,904.3,1223.5,1502.7,1197.82,15.01,93.5,90.0,76.5,75.0,102.0,76.0,59.5,41.5,94.5,0.0,112.0,78.0
Watrak Dam,23.3183,73.4058,Irrigation,Watrak,Bayad,Sabar Kantha,124.0,Earthen,325.0,43.31,43.2432,3,Vertisols,Leptosols,"Mahi, River",41.1578,0.0002,971.6,1224.6,878.3,1595.3,1210.0,1175.96,17.15,81.5,85.5,64.5,64.0,86.5,88.0,91.0,109.5,86.5,108.5,109.0,86.0
Zakashiya Dam,22.2297,69.46,Irrigation,Jetpur,Khambhaliya,Jamnagar,32.0,Earthen,2790.0,21.34,0.0,4,Vertisols,Cambisols,"Indus, River",288.7191,0.0,1857.8,914.1,649.0,853.3,1406.7,1136.18,27.22,94.0,101.5,53.0,42.5,44.5,17.5,30.5,44.5,48.0,0.0,64.0,63.0
Zalu Dam,23.3427,69.2669,Irrigation,Local Stream,Nakhtarana,Kachchh,136.0,Earthen,670.0,13.5,1.8018,5,Luvisols,Regosols,"Indus, River",183.6006,0.0,847.5,458.1,605.8,631.2,795.7,667.66,21.15,67.5,71.0,54.0,58.0,54.5,55.0,51.5,57.5,30.0,78.5,75.0,86.0
Zanzarwa Dam,24.1747,72.4302,Irrigation,T Of Banas,Palanpur,Banas Kantha,217.0,Earthen,335.0,23.0,0.9009,3,Vertisols,Cambisols,"Som Kahmla, River",158.5048,-0.0002,920.7,1123.1,1013.3,1005.8,781.8,968.94,17.17,56.5,56.0,51.5,53.5,58.0,49.5,49.5,63.0,70.0,68.0,67.0,72.0
Zar Dam,21.3558,71.1105,Irrigation,Fulzar,Dhari Mahal,Amreli,192.0,Earthen,870.0,24.5,1.8018,3,Vertisols,Luvisols,"Tapi, River",178.6218,0.0001,1065.1,1084.2,602.7,639.7,1232.5,924.84,16.24,87.0,79.0,71.5,55.5,60.0,75.5,63.5,94.5,26.5,102.5,72.0,64.0
Zinzari Dam,22.5177,73.6711,Irrigation,Vehla,Devgadh Bariya,Panch Mahals,158.0,Earthen,2126.0,11.5,4.5045,3,Vertisols,Luvisols,"Unknown, Lake",39.1614,-0.0004,1039.7,1181.7,1013.4,1174.3,1497.1,1181.24,14.92,127.0,115.5,93.0,77.5,90.0,76.0,75.0,108.0,116.0,13.0,122.0,93.0
shell Dedumaal Dam,21.3069,71.2338,Irrigation,Dedumal,Kundla,Amreli,175.0,,55.5,17.34,5.4054,3,Vertisols,Cambisols,"Tapi, River",165.6025,0.0001,1015.3,1055.1,612.8,663.9,1139.6,897.34,15.69,90.0,79.5,59.0,60.0,64.0,60.5,63.5,53.0,122.0,100.5,68.0,54.0
