Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Nandhelao Dam,22.8344,74.2605,Irrigation,Kotar,Dahod,dahod,303.0,Earthen,540.0,13.0,0.9009,3,Vertisols,Cambisols,"Unknown, Lake",30.9094,-0.0004,933.6,1314.9,740.6,1093.5,1254.3,1067.38,15.04,66.0,68.0,55.5,62.0,68.5,49.5,24.0,32.0,74.0,89.5,72.0,59.0
Naniber Dam,23.8155,68.7697,Irrigation,Naliya,Lakhpat,Kachchh,26.0,Earthen,2576.0,15.04,2.7027,5,Cambisols,Arenosols,"Indus, River",111.6886,0.0,460.0,286.9,599.3,417.1,614.1,475.48,19.16,57.0,54.5,50.5,46.0,48.5,42.0,40.5,49.0,68.0,79.5,71.0,69.0
Nara Dam,23.6344,69.1058,"Flood Control,Irrigation",Nara,Lakhpat,Kachchh,24.0,Earthen,534.92,28.05,0.0,5,Unknown,Unknown,"Indus, River",151.3558,0.0,493.2,331.9,741.6,449.2,585.1,520.2,18.74,23.5,30.0,25.0,34.5,40.0,44.0,16.0,24.0,18.0,61.5,74.0,71.0
Navabhetali Dam,23.7472,73.3088,Irrigation,Localvangha,Bhiloda,Sabar Kantha,212.0,Gravity & Masonry,25.0,15.0,0.0,3,Vertisols,Cambisols,"Som Kahmla, River",72.3663,-0.0002,921.4,1067.2,1000.2,1274.2,1144.3,1081.46,15.52,123.5,0.5,88.5,77.5,100.5,104.0,86.0,54.5,59.5,1.5,107.0,99.0
Navali Dam,21.3377,71.3049,Irrigation,Khodiyar Nehra,Kundla,Amreli,141.0,Earthen,376.0,16.89,1.8018,3,Vertisols,Cambisols,"Tapi, River",158.404,0.0001,984.7,1039.1,642.8,670.9,1063.3,880.16,15.27,68.5,59.5,62.5,61.5,57.5,66.0,51.5,55.0,28.5,110.5,66.0,85.0
Nayka(W Bhogavo I) Dam,22.6622,71.4611,Irrigation,Bhogavo,Muli,Surendranagar,99.0,Earthen,2683.0,20.3,0.0,3,Vertisols,Cambisols,"Mahi, River",167.8185,0.0,1095.9,951.5,816.7,638.4,1239.7,948.44,20.58,44.0,68.5,74.0,74.5,84.0,66.0,32.0,80.0,70.0,97.5,88.0,72.0
Nilwada Dam,21.8452,71.308,Irrigation,"Navali, Suknera",Babra,Amreli,159.0,Earthen,1360.0,11.7,0.0,3,Vertisols,Cambisols,"Tapi, River",170.9245,0.0001,1211.7,910.4,620.0,574.8,1344.5,932.28,16.17,76.0,61.5,50.5,51.5,56.0,63.5,63.0,55.0,27.5,79.5,63.0,59.0
Nirona Dam,23.4633,69.523,Irrigation,Bharud,Nakhtarana,Kachchh,20.0,Earthen,1689.39,37.79,0.9009,5,Cambisols,Arenosols,"Indus, River",197.4848,0.0001,759.1,434.1,641.9,574.0,810.3,643.88,20.59,84.5,92.0,83.0,74.0,80.0,69.0,72.5,63.0,88.5,101.0,84.0,88.0
Nyari II Dam,22.3627,70.6736,Irrigation,Nyari,Padadhari,Rajkot,90.0,Earthen / Gravity & Masonry,4014.0,23.7,0.0,4,Vertisols,Cambisols,"Mahi, River",247.3372,0.0,1127.4,966.6,1008.2,711.8,1326.1,1028.02,19.87,91.5,94.0,59.0,39.0,62.0,35.5,49.0,86.5,18.5,101.5,64.0,81.0
Nyari I Dam,22.2441,70.7094,"Drinking , Water Supply",Nyari,Rajkot,Rajkot,128.0,Earthen,4206.0,18.0,1.8018,3,Unknown,Unknown,"Mahi, River",244.6019,0.0,1073.1,933.5,849.7,632.4,1343.9,966.52,19.19,78.0,73.5,54.5,59.0,55.5,55.0,71.0,97.5,24.5,85.5,63.0,76.0
Odarka Dam,21.5047,72.1563,Irrigation,Local Stream,Ghogha Mahal,Bhavnagar,71.0,Earthen,768.7,16.5,0.9009,3,Vertisols,Cambisols,"Tapi, River",75.453,0.0001,907.8,1340.5,902.9,898.0,1400.8,1090.0,15.24,99.5,85.5,80.5,79.5,76.0,66.5,52.5,62.5,35.5,110.5,101.0,76.0
Ozat II Dam,21.3858,70.58,Irrigation,Makhania,Junagadh,Junagadh,69.0,Earthen,789.45,13.5,0.9009,3,Vertisols,Cambisols,"Tapi, River",233.6558,0.0001,1328.2,1133.6,873.1,951.0,1328.6,1122.9,18.24,108.0,88.0,69.0,93.5,103.5,66.0,44.5,112.5,21.5,85.5,93.0,93.0
Panam Dam,23.0538,73.7166,"Hydroelectric,Irrigation,Navigation,Pisciculture",Panam,Santrampur,Panch Mahals,108.0,Gravity & Masonry,269.45,56.36,17.1171,3,Vertisols,Leptosols,"Mahi, River",26.1316,0.0002,1187.0,1149.6,921.0,1172.5,1383.7,1162.76,16.02,94.5,83.5,70.0,69.0,84.5,110.0,56.0,105.0,101.5,116.0,111.0,69.0
Panch Devda Dam,22.1252,70.2147,Irrigation,Baren,Kalavad,Jamnagar,156.0,Earthen,93.0,15.4,1.8018,4,Vertisols,Luvisols,"Tapi, River",287.3639,0.0001,1323.2,900.8,832.3,623.4,1329.5,1001.84,19.76,73.5,76.0,56.5,52.5,58.0,48.5,67.5,76.0,26.0,82.5,64.0,58.0
Panchavada Dam,21.6877,71.8788,Irrigation,Local Stream,Sihor,Bhavnagar,60.0,Earthen,554.0,13.73,0.0,3,Vertisols,Cambisols,"Tapi, River",109.9833,0.0001,1078.8,1103.6,825.0,686.5,1453.4,1029.46,16.7,80.0,86.5,62.0,58.5,72.5,97.5,78.0,81.0,39.5,114.0,91.0,80.0
Patadungri Dam,22.7219,74.2925,Irrigation,Khan,Dahod,dahod,326.0,Earthen,199.0,25.3,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",30.9073,-0.0004,958.1,1324.7,802.5,1009.6,1245.6,1068.1,14.49,103.5,69.5,65.5,53.5,70.5,68.5,60.5,35.5,110.0,121.0,92.0,57.0
Patiyali Dam,22.0661,70.6661,Irrigation,Utavali,Jasdan,Rajkot,139.0,Earthen,4219.69,17.75,0.9009,3,Vertisols,Cambisols,"Tapi, River",241.4999,0.0001,1199.3,1030.4,733.7,787.5,1430.9,1036.36,19.01,95.0,65.5,67.0,61.0,65.0,66.5,70.0,63.5,32.5,98.5,98.0,95.0
Phophal I Dam,21.8816,70.4011,Irrigation,Phopal,Jam Kandorna,Rajkot,101.0,Earthen / Gravity & Masonry,3770.0,27.43,0.9009,3,Vertisols,Cambisols,"Tapi, River",260.948,0.0001,1362.1,936.0,892.6,953.2,1641.0,1156.98,19.48,99.5,85.0,66.0,55.5,56.5,49.0,23.0,93.5,41.0,111.5,102.0,107.0
Phot Dam,22.8394,69.7238,Irrigation,Phot,Mundra,Kachchh,16.0,Earthen,1421.0,14.14,0.0,5,Vertisols,Arenosols,"Indus, River",255.4349,0.0,1319.3,774.9,912.8,843.8,1427.8,1055.72,24.8,68.0,56.5,60.5,64.0,63.0,65.5,67.5,74.5,122.0,82.5,101.0,77.0
Pichhavi Dam,20.7983,70.7,Irrigation,Sangavad,Kodinar,Junagadh,6.0,Earthen,2866.0,10.5,5.4054,3,Vertisols,Luvisols,"Tapi, River",226.74,0.0001,1287.8,1254.5,962.2,1012.3,1404.2,1184.2,15.45,108.0,77.0,67.5,74.5,86.0,76.0,38.5,109.5,103.0,93.5,72.0,86.0
Pigut Dam,21.5713,73.1613,Irrigation,Amravati,Valia,Bharuch,56.0,Earthen,1470.0,20.65,0.0,3,Vertisols,Luvisols,"Narmada, River",30.0097,-0.0001,1220.7,1531.6,1298.0,1013.6,2061.7,1425.12,16.49,85.0,80.5,78.0,76.0,76.5,85.0,66.5,104.0,81.5,105.0,94.0,67.0
Piparala Dam,21.3791,72.0986,Irrigation,Piparala,Dhari Mahal,Amreli,27.0,Earthen,701.22,14.69,1.8018,3,Vertisols,Cambisols,"Tapi, River",77.2385,0.0001,947.4,1355.2,831.1,915.8,1458.2,1101.54,15.23,102.0,85.5,86.5,104.5,100.5,78.0,28.0,87.0,64.0,103.5,100.0,84.0
Pipardi Dam,21.7116,71.7041,Irrigation,Garduli,Sihor,Bhavnagar,71.0,Earthen,1167.0,17.0,2.7027,3,Vertisols,Cambisols,"Tapi, River",127.4742,0.0001,1095.0,1060.5,823.6,694.8,1457.8,1026.34,16.46,99.5,85.5,74.5,71.0,71.0,64.5,59.5,76.0,59.5,106.0,109.0,96.0
Pith Gajipur Dam,24.193,72.7658,Irrigation,T Of Sabarmati,Danta,Banas Kantha,272.0,Earthen,370.0,20.0,10.8108,3,Vertisols,Luvisols,"Som Kahmla, River",125.2381,-0.0002,790.7,977.7,1045.5,1035.0,1049.0,979.58,14.71,115.5,110.0,78.5,81.5,106.5,115.0,112.5,108.5,3.0,116.5,114.0,117.0
Piyoni Dam,23.2836,69.1861,Irrigation,Ratanpar,Abdasa,Kachchh,148.0,Earthen,230.0,16.0,3.6036,5,Vertisols,Luvisols,"Indus, River",181.5038,0.0,829.3,536.0,635.4,666.2,896.1,712.6,21.13,69.5,80.5,62.5,59.5,60.5,50.0,61.0,68.5,93.5,114.0,109.0,96.0
Pratappura Dam,22.6805,73.2894,Irrigation,Khari,Waghoriya,Vadodara,60.0,Earthen,2500.0,10.67,0.0,3,Vertisols,Cambisols,"Mahi, River",34.1767,0.0,1056.8,1071.2,1049.2,1174.0,1404.8,1151.2,16.5,119.5,114.5,88.5,97.5,105.5,94.0,83.5,95.0,77.5,116.0,121.0,100.0
Prempara Dam,21.2572,70.713,Irrigation,Utavali,Visavadar,Junagadh,196.0,Earthen,1565.9,18.35,4.5045,3,Vertisols,Leptosols,"Tapi, River",219.4738,0.0001,1399.0,1269.1,812.8,904.7,1334.5,1144.02,15.22,100.5,80.5,63.0,63.5,68.5,60.0,39.5,103.0,110.5,104.5,99.0,95.0
