Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Monsoon Intensity,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Avg_NDVI_Last5Years,Geological_Suitability_Score,Climatic_Effect_Score,Overall_Suitability_Score,Geological_Suitability_Category,Climatic_Effect_Category,Overall_Suitability_Category,Rainfall_StdDev_5yr,Max_Annual_Rainfall,Min_Annual_Rainfall,NDVI_StdDev_5yr,NDVI_Trend_5yr
Aamli Chharchhoda Dam,21.3924,73.3858,Irrigation,Kotar,Dahod,dahod,106.0,,Earthen,600.0,11.0,9.009,3,Unknown,Unknown,,,,1295.4,1979.8,1387.9,1125.6,2121.1,1581.96,16.25,,58,50,54.8,Fair,Fair,Fair,440.73488970128057,2121.1,1125.6,,
Abhalwad Dam,21.5733,71.4583,Irrigation,Zangarda,Jafarabad Mahal,Amreli,89.0,,Earthen,477.0,18.0,0.0,3,Vertisols,Cambisols,,,,1054.1,1074.2,720.9,683.9,1286.4,963.9,15.76,,75,60,69.0,Good,Moderate,Moderate,255.81115104701752,1286.4,683.9,,
Adhia Dam,22.3897,70.9997,Irrigation,Beti,Jasdan,Rajkot,160.0,,Earthen,1829.0,15.0,0.9009,3,Vertisols,Cambisols,,,,1026.5,1011.4,880.0,659.9,1491.7,1013.9,19.42,,75,60,69.0,Good,Moderate,Moderate,304.837276263911,1491.7,659.9,,
Adhochhani Dam,23.2927,69.3555,Irrigation,Adhochhani,Nakhtarana,Kachchh,138.0,,Earthen,1000.0,16.94,0.9009,5,Luvisols,Cambisols,,,,910.0,530.8,655.7,655.3,851.8,720.72,21.77,,60,55,58.0,Moderate,Fair,Fair,156.19368425131663,910.0,530.8,,
Adhoi I Dam,23.3894,70.5113,Irrigation,Adhoi,Bhachau,Kachchh,90.0,,Earthen,783.0,11.95,1.8018,5,Cambisols,Vertisols,,,,754.5,749.9,761.9,743.9,814.7,764.98,16.99,,65,60,63.0,Moderate,Moderate,Moderate,28.56207275391619,814.7,743.9,,
Adpur Dam,21.5347,71.8275,Irrigation,Local Stream,Palitana,Bhavnagar,62.0,,Earthen,604.0,12.3,0.0,3,Vertisols,Cambisols,,,,956.6,1183.5,764.4,708.0,1441.9,1010.88,15.48,,75,60,69.0,Good,Moderate,Moderate,304.5533237382249,1441.9,708.0,,
Advana Dam,21.6413,69.6291,Irrigation,Sorthi,Porbandar,Porbandar,8.0,,Earthen,1347.0,20.1,0.0,3,Vertisols,Cambisols,,,,1796.0,963.4,927.1,1014.3,1720.4,1284.24,23.13,,68,45,58.8,Moderate,Poor,Fair,434.5942740073781,1796.0,927.1,,
Aji I Dam,22.2597,70.8472,"Drinking, Water Supply",Aji,Rajkot,Rajkot,146.0,,Earthen,3426.0,21.0,0.0,3,Vertisols,Cambisols,,,,1004.7,898.1,799.5,698.6,1358.9,951.96,18.76,,75,60,69.0,Good,Moderate,Moderate,254.3216034866091,1358.9,698.6,,
Aji II Dam,22.375,70.7736,Irrigation,Aji,Rajkot,Rajkot,103.0,,Earthen / Gravity & Masonry,1291.0,23.57,0.0,3,Vertisols,Cambisols,,,,1037.3,937.5,1036.1,654.6,1356.0,1004.3,20.19,,75,55,67.0,Good,Fair,Moderate,251.26950670544963,1356.0,654.6,,
Aji III Dam,22.5091,70.58,Irrigation,Aji,Padadhari,Rajkot,52.0,,Earthen / Gravity & Masonry,7883.0,25.0,0.0,4,Unknown,Unknown,,,,1355.2,963.3,959.8,744.2,1204.0,1045.3,22.1,,60,55,58.0,Moderate,Fair,Fair,237.65477062327193,1355.2,744.2,,
Aji IV Dam,22.7144,70.4847,Irrigation,Aji,Jodiya,Jamnagar,10.0,,Earthen,658.0,21.9,0.9009,4,Vertisols,Cambisols,,,,1015.8,1077.5,983.9,705.2,1310.9,1018.66,21.57,,63,60,61.8,Moderate,Moderate,Moderate,216.99076708468496,1310.9,705.2,,
Ajwa Dam,22.4066,73.38,Irrigation,Surya,Waghoriya,Vadodara,66.0,,Earthen,4390.0,17.07,3.6036,3,Vertisols,Cambisols,,,,1197.1,1131.9,1055.2,1143.2,1606.7,1226.82,16.27,,72,60,67.2,Good,Moderate,Moderate,218.31607132778842,1606.7,1055.2,,
Alan Sagar Dam,22.0352,71.2019,,,Jasdan,Rajkot,198.0,,,,,0.0,3,Vertisols,Cambisols,,,,962.5,950.2,671.3,623.7,1453.7,932.28,16.01,,65,55,61.0,Moderate,Fair,Moderate,330.3200599418691,1453.7,623.7,,
Amalwant Dam,22.0888,74.0375,Irrigation,T Narmada,Chhota Udepur,Vadodara,193.0,,Earthen,387.0,17.68,0.9009,3,Vertisols,Leptosols,,,,1018.0,1066.1,1085.7,891.6,1625.4,1137.36,13.8,,75,55,67.0,Good,Fair,Moderate,283.0965259412415,1625.4,891.6,,
Ambajal Dam,21.2844,70.7347,Irrigation,Ambajal,Visavadar,Junagadh,163.0,,Earthen,1472.8,19.18,6.3063,3,Vertisols,Cambisols,,,,1399.0,1269.1,812.8,904.7,1334.5,1144.02,15.22,,68,60,64.8,Moderate,Moderate,Moderate,266.42221566528565,1399.0,812.8,,
Ambakui Dam,21.2211,70.3644,Irrigation,Ambakui,Maliya Hatina,Junagadh,85.0,,Earthen,1620.0,21.0,1.8018,3,Vertisols,Luvisols,,,,1518.9,1168.8,1051.3,1059.0,1433.6,1246.32,17.1,,75,60,69.0,Good,Moderate,Moderate,217.0855752923257,1518.9,1051.3,,
Ambala Dam,21.7191,71.9597,Irrigation,Local Stream,Sihor,Bhavnagar,50.0,,Earthen,713.7,14.0,3.6036,3,Vertisols,Cambisols,,,,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,,72,60,67.2,Good,Moderate,Moderate,306.8461503750699,1457.0,675.4,,
Ambani Khodiar Dam,21.3377,71.3049,Irrigation,Khodiyar Nahera,Kundla,Amreli,141.0,,Earthen,1326.0,11.8,1.8018,3,Vertisols,Cambisols,,,,984.7,1039.1,642.8,670.9,1063.3,880.16,15.27,,75,60,69.0,Good,Moderate,Moderate,206.07056558373395,1063.3,642.8,,
Ambaradi Dam,21.7869,71.4944,Irrigation,T/Bhadr,Gondal,Rajkot,94.0,,Earthen,520.0,18.1,2.7027,3,Vertisols,Cambisols,,,,1075.0,985.8,776.8,636.2,1383.8,971.52,17.05,,72,60,67.2,Good,Moderate,Moderate,287.76822618211344,1383.8,636.2,,
Amirpur Dam,21.1225,70.1166,"Flood Control,Irrigation",Uben,Mangrol,Junagadh,21.0,,Earthen,10209.0,,1.8018,3,Vertisols,Luvisols,,,,1823.5,1002.7,1105.5,1233.1,1317.9,1296.54,17.85,,62,55,59.2,Moderate,Fair,Fair,318.200389691779,1823.5,1002.7,,
Anandapar Dam,22.6988,71.01,Irrigation,T/Aji,Morbi,Rajkot,79.0,,Earthen,620.0,16.8,0.0,4,Vertisols,Cambisols,,,,1453.9,980.1,838.1,670.8,1364.9,1061.56,22.21,,70,55,64.0,Good,Fair,Moderate,337.34600634956394,1453.9,670.8,,
Anandpar Dam,22.1019,70.8611,Irrigation,T/Aji,Rajkot,Rajkot,184.0,,Earthen,231.0,15.0,0.9009,3,Vertisols,Cambisols,,,,1098.7,911.9,766.1,725.8,1511.9,1002.88,17.3,,75,60,69.0,Good,Moderate,Moderate,319.9211965468997,1511.9,725.8,,
Andhariparpata Dam,22.8386,73.9913,Irrigation,River,Limkheda,dahod,198.0,,Earthen,775.0,12.0,0.9009,3,Vertisols,Cambisols,,,,1062.7,1273.8,940.4,1367.7,1572.8,1243.48,16.29,,75,60,69.0,Good,Moderate,Moderate,249.67001622141174,1572.8,940.4,,
Angianawa Dam,23.3427,69.2666,Irrigation,Bukhi Nadi,Nakhtarana,Kachchh,134.0,,Earthen,416.0,10.5,0.9009,5,Luvisols,Regosols,,,,847.5,458.1,605.8,631.2,795.7,667.66,21.15,,55,50,53.0,Fair,Fair,Fair,156.3713944428456,847.5,458.1,,
Anida Dam,21.9691,70.7272,Irrigation,Local Stream,Gondal,Rajkot,134.0,,Earthen,760.0,15.0,0.0,3,Vertisols,Cambisols,,,,1146.1,933.3,742.3,774.0,1469.2,1012.98,17.79,,75,60,69.0,Good,Moderate,Moderate,301.0754174621369,1469.2,742.3,,
Arrni Dam,21.7394,70.2791,Irrigation,T/Bhadr,Upleta,Rajkot,42.0,,Earthen,1120.0,11.2,0.0,3,Vertisols,Cambisols,,,,1554.6,938.7,813.8,1144.6,1697.0,1229.74,23.8,,72,50,63.2,Good,Fair,Moderate,383.67470336210596,1697.0,813.8,,
Badargadh( Shiv) Dam,23.4758,70.6291,Irrigation,Badargadh,Rapar,Kachchh,150.0,,Earthen,322.0,20.0,1.8018,5,Cambisols,Arenosols,,,,735.8,674.2,764.8,698.8,737.0,722.12,17.49,,60,60,60.0,Moderate,Moderate,Moderate,35.60297740358239,764.8,674.2,,
BadiPadva Dam,21.6477,72.0702,Irrigation,Maleshri,Ghogha Mahal,Bhavnagar,82.0,,Earthen,774.7,15.0,0.0,3,Vertisols,Luvisols,,,,1052.5,1428.4,892.8,779.5,1396.1,1109.86,16.19,,75,60,69.0,Good,Moderate,Moderate,292.80710886178974,1428.4,779.5,,
Bagad Dam,21.2922,71.8958,"Hydroelectric,Irrigation",Bagad,Mahuva,Bhavnagar,54.0,,Earthen,2346.46,20.39,0.0,3,Vertisols,Cambisols,,,,992.6,1609.9,839.4,943.8,1308.0,1138.74,16.32,,75,60,69.0,Good,Moderate,Moderate,316.07104897475193,1609.9,839.4,,
Baladhor Dam,23.2608,68.8269,Irrigation,Naira Nadi,Abdasa,Kachchh,24.0,,Earthen,330.0,10.79,0.9009,5,Arenosols,Cambisols,,,,855.0,574.2,681.2,709.1,973.4,758.58,21.84,,57,55,56.2,Fair,Fair,Fair,156.42599528211414,973.4,574.2,,
Balamdi Dam,22.1533,70.4202,Irrigation,Bqalambhadi,Kalavad,Jamnagar,120.0,,Earthen,366.0,18.0,0.9009,3,Vertisols,Cambisols,,,,1231.2,931.7,936.3,703.7,1260.1,1012.6,20.12,,75,55,67.0,Good,Fair,Moderate,232.8239248874565,1260.1,703.7,,
Balapar Budadro Dam,23.2608,68.8272,Irrigation,Naliya,Abdasa,Kachchh,24.0,,Earthen,1280.0,14.93,0.9009,5,Arenosols,Luvisols,,,,855.0,574.2,681.2,709.1,973.4,758.58,21.84,,52,55,53.2,Fair,Fair,Fair,156.42599528211414,973.4,574.2,,
Baldeva Dam,21.6155,73.4063,Irrigation,Tokri,Valia,Bharuch,136.0,,Earthen,1391.0,23.4,0.9009,3,Unknown,Unknown,,,,1120.6,1387.1,1164.2,1047.2,1755.0,1294.82,14.54,,65,55,61.0,Moderate,Fair,Moderate,286.79744071382504,1755.0,1047.2,,
Baliyawad Dam,21.6008,70.5552,Irrigation,Baliyawada,Junagadh,Junagadh,102.0,,Earthen / Gravity & Masonry,39.0,13.4,1.8018,3,Vertisols,Cambisols,,,,1369.2,1117.3,836.4,1063.7,1378.9,1153.1,18.47,,75,65,71.0,Good,Moderate,Good,227.6278432002553,1378.9,836.4,,
Bamanbore Dam,22.4155,71.0408,Irrigation,T/ Machhu,Chotila,Surendranagar,176.0,,Earthen,286.0,15.0,12.6126,3,Vertisols,Cambisols,,,,991.1,1019.9,818.1,663.6,1490.1,996.56,18.79,,65,60,63.0,Moderate,Moderate,Moderate,310.9930192142582,1490.1,663.6,,
Bamathia I Dam,21.9391,70.0766,Irrigation,Local Stream,Jam Jodhpur,Jamnagar,90.0,,Earthen,1342.0,14.0,0.0,3,Vertisols,Cambisols,,,,1270.6,884.4,815.4,710.7,1534.5,1043.12,19.64,,75,60,69.0,Good,Moderate,Moderate,346.6817517551219,1534.5,710.7,,
Bamathiya II Dam,22.0561,70.0561,Irrigation,Local Voklo,Jam Jodhpur,Jamnagar,169.0,,Earthen,77.0,13.9,0.0,3,Vertisols,Luvisols,,,,1383.4,929.5,824.5,699.6,1530.8,1073.56,20.38,,75,50,65.0,Good,Fair,Moderate,363.21463764556626,1530.8,699.6,,
Bambhanka Dam,23.8097,70.3344,Irrigation,Gangui Nadi,Bhachau,Kachchh,14.0,,Earthen,1335.57,11.68,1.8018,5,Cambisols,Arenosols,,,,534.4,449.8,728.4,700.9,573.8,597.46,20.65,,53,50,51.8,Fair,Fair,Fair,116.38830697282266,728.4,449.8,,
Bandhara Dam,23.0688,69.71,Irrigation,Bhuj,Bhuj,Kachchh,128.0,,Earthen,338.0,16.45,0.0,5,Vertisols,Luvisols,,,,788.2,717.5,752.1,744.0,946.3,789.62,22.16,,65,55,61.0,Moderate,Fair,Moderate,91.16039161828999,946.3,717.5,,
Bandi Dam,23.2416,69.6675,Irrigation,Saburi,Bhuj,Kachchh,103.0,,Earthen / Gravity & Masonry,3720.0,13.9,1.8018,5,Vertisols,Luvisols,,,,768.6,576.4,673.5,674.4,755.3,689.64,20.89,,65,55,61.0,Moderate,Fair,Moderate,77.2366040164895,768.6,576.4,,
Bangawadi Dam,22.4341,70.6019,Irrigation,T/Aji,Padadhari,Rajkot,66.0,,Earthen / Gravity & Masonry,2937.0,17.6,0.0,4,Vertisols,Cambisols,,,,1255.7,972.6,932.2,673.5,1219.8,1010.76,20.87,,70,55,64.0,Good,Fair,Moderate,237.2053393159606,1255.7,673.5,,
Baranda Dam,23.555,68.6763,Irrigation,Local River,Lakhpat,Kachchh,81.0,,Earthen,725.57,13.45,0.9009,5,Vertisols,Cambisols,,,,563.5,375.5,649.6,536.0,673.4,559.6,19.14,,65,55,61.0,Moderate,Fair,Moderate,117.80855232112819,673.4,375.5,,
Baukha Dam,23.3138,69.5919,Irrigation,Kayla,Bhuj,Kachchh,85.0,,Earthen,468.0,15.5,0.9009,5,Cambisols,Arenosols,,,,765.6,539.3,658.3,596.1,730.7,658.0,20.51,,60,55,58.0,Moderate,Fair,Fair,93.2529356106284,765.6,539.3,,
Bedi Dam,22.3441,70.8074,Irrigation,T/Demi,Rajkot,Rajkot,103.0,,Earthen / Gravity & Masonry,1095.0,10.95,9.9099,3,Vertisols,Cambisols,,,,1001.9,932.3,944.9,680.3,1371.5,986.18,18.79,,68,60,64.8,Moderate,Moderate,Moderate,248.43927225782966,1371.5,680.3,,
Bela Dam,23.8736,70.8044,Irrigation,Bela,Rapar,Kachchh,32.0,,Earthen,1018.3,16.15,0.9009,5,Luvisols,Vertisols,,,,564.5,482.5,642.7,679.8,467.3,567.36,18.18,,62,55,59.2,Moderate,Fair,Fair,94.26063865686461,679.8,467.3,,
Berachiya Dam,23.2122,69.0655,Irrigation,Nayra,Abdasa,Kachchh,67.0,,Earthen,2010.0,22.54,0.9009,5,Vertisols,Luvisols,,,,784.4,514.8,676.1,812.1,960.6,749.6,18.87,,65,60,63.0,Moderate,Moderate,Moderate,165.96052241421756,960.6,514.8,,
Bhadar II Dam,21.815,70.768,Irrigation,Bandi,Dhoraji,Rajkot,105.0,,Earthen,1350.0,12.15,0.0,3,Unknown,Unknown,,,,1294.3,996.6,766.5,778.6,1510.4,1069.28,17.4,,65,60,63.0,Moderate,Moderate,Moderate,326.60137323654965,1510.4,766.5,,
Bhadar(Mena Mortalav) Dam,23.3288,73.6883,Irrigation,Bhadar,Lunavada,Panch Mahals,119.0,,Earthen / Gravity & Masonry,1412.0,45.78,4.5045,3,Unknown,Unknown,,,,951.1,1260.4,921.0,1423.3,1359.3,1183.02,16.62,,60,65,62.0,Moderate,Moderate,Moderate,233.0440666483487,1423.3,921.0,,
Bhadar(S) Dam,21.8255,70.7688,Irrigation,Bhadar,Gondal,Rajkot,105.0,,Earthen / Gravity & Masonry,4429.0,29.26,0.0,3,Unknown,Unknown,,,,1294.3,996.6,766.5,778.6,1510.4,1069.28,17.4,,65,60,63.0,Moderate,Moderate,Moderate,326.60137323654965,1510.4,766.5,,
Bhadreshwar Dam,22.9091,69.8994,Irrigation,Bhadreshwar,Mundra,Kachchh,11.0,,Earthen,2537.38,14.76,3.6036,5,Vertisols,Cambisols,,,,917.2,759.6,825.2,695.8,1033.1,846.18,23.24,,55,60,57.0,Fair,Moderate,Fair,132.7905568931767,1033.1,695.8,,
Bhaguda Dam,21.248,71.8977,Irrigation,T/Bagad,Mahuva,Bhavnagar,44.0,,Earthen,430.0,16.0,1.8018,3,Vertisols,Leptosols,,,,992.6,1609.9,839.4,943.8,1308.0,1138.74,16.32,,72,60,67.2,Good,Moderate,Moderate,316.07104897475193,1609.9,839.4,,
Bhandaria Dam,21.8158,71.5452,Irrigation,Local Stream,Palitana,Bhavnagar,82.0,,Earthen,340.0,17.5,2.7027,3,Vertisols,Cambisols,,,,1087.8,999.6,691.6,643.0,1345.6,953.52,16.89,,72,60,67.2,Good,Moderate,Moderate,291.0781544534044,1345.6,643.0,,
Bhanmer Dam,23.8313,73.3472,Irrigation,Bhanmervangha,Bhiloda,Sabar Kantha,266.0,,Earthen,510.0,10.0,1.8018,3,Vertisols,Cambisols,,,,997.5,1278.6,1094.3,1177.7,1210.5,1151.72,15.5,,72,65,69.2,Good,Moderate,Moderate,108.75367579994708,1278.6,997.5,,
Bharad Dam,21.3877,71.0224,Irrigation,,Dhari Mahal,Amreli,186.0,,Earthen,425.0,19.5,3.6036,3,Vertisols,Cambisols,,,,1072.7,1059.9,641.4,679.7,1213.3,933.4,17.33,,72,60,67.2,Good,Moderate,Moderate,256.60204597781365,1213.3,641.4,,
Bharapar Dam,23.2572,68.8277,Irrigation,Naliya,Abdasa,Kachchh,20.0,,Earthen,738.0,13.44,2.7027,5,Arenosols,Cambisols,,,,855.0,574.2,681.2,709.1,973.4,758.58,21.84,,54,55,54.4,Fair,Fair,Fair,156.42599528211414,973.4,574.2,,
Bharudia Dam,23.5602,70.4166,Irrigation,Bharudia,Bhachau,Kachchh,30.0,,Earthen,2258.0,11.81,0.9009,5,Cambisols,Luvisols,,,,695.4,497.4,732.1,620.7,569.0,622.92,19.04,,57,60,58.2,Fair,Moderate,Fair,94.65884533417889,732.1,497.4,,
Bhimdad Dam,22.0836,71.5763,Irrigation,Madhu,Gadhada,Bhavnagar,94.0,,Earthen,2197.73,21.65,1.8018,3,Vertisols,Cambisols,,,,861.2,902.1,697.5,666.4,1500.6,925.56,17.06,,75,55,67.0,Good,Fair,Moderate,337.0974829333497,1500.6,666.4,,
BhogavoII (Wadhowan) Dam,22.4613,71.2347,Irrigation,Bhogavo,Wadhwan,Surendranagar,174.0,,Earthen,3891.0,39.0,0.0,3,Vertisols,Cambisols,,,,1051.6,958.5,747.7,603.8,1328.4,938.0,19.89,,73,60,67.8,Good,Moderate,Moderate,280.018347613152,1328.4,603.8,,
Bhuj Dam,23.2538,69.6322,Irrigation,Khari Nadi,Bhuj,Kachchh,86.0,,Earthen,1250.0,17.3,7.2072,5,Luvisols,Regosols,,,,768.6,576.4,673.5,674.4,755.3,689.64,20.89,,48,55,50.8,Poor,Fair,Fair,77.2366040164895,768.6,576.4,,
Bhuki Dam,23.333,69.2936,Irrigation,Bhukhi,Nakhtarana,Kachchh,124.0,,Earthen,1550.0,31.0,2.7027,5,Luvisols,Vertisols,,,,910.0,530.8,655.7,655.3,851.8,720.72,21.77,,60,55,58.0,Moderate,Fair,Fair,156.19368425131663,910.0,530.8,,
Bodi Dam,23.4708,73.295,Irrigation,Local Vangha,Modasa,Sabar Kantha,133.0,,Earthen,240.0,15.0,4.5045,3,Vertisols,Cambisols,,,,1038.4,1115.5,970.0,1484.2,1259.4,1173.5,17.59,,72,65,69.2,Good,Moderate,Moderate,204.29241297708538,1484.2,970.0,,
Borsi Dam,23.4941,73.5038,Irrigation,Chuli,Meghraj,Sabar Kantha,166.0,,Earthen,565.0,17.0,3.6036,3,Luvisols,Leptosols,,,,1038.4,1333.1,909.0,1324.7,1148.8,1150.8,16.45,,62,65,63.2,Moderate,Moderate,Moderate,183.42539355280118,1333.1,909.0,,
BrahmaniI Dam,22.6652,71.2136,Irrigation,Brahmani,Halvad,Surendranagar,112.0,,Earthen / Gravity & Masonry,3626.0,23.42,0.0,3,Unknown,Unknown,,,,1209.5,979.0,790.8,648.8,1201.8,965.98,21.22,,65,55,61.0,Moderate,Fair,Moderate,248.18026110067657,1209.5,648.8,,
BrahmaniII Dam,22.6675,71.2144,Irrigation,,Halvad,Surendranagar,112.0,,,3508.0,14.2,0.0,4,Unknown,Unknown,,,,1209.5,979.0,790.8,648.8,1201.8,965.98,21.22,,60,55,58.0,Moderate,Fair,Fair,248.18026110067657,1209.5,648.8,,
Burkhan Dam,23.2605,68.8272,Irrigation,Burkhan,Abdasa,Kachchh,24.0,,Earthen,927.0,16.01,0.9009,5,Arenosols,Luvisols,,,,855.0,574.2,681.2,709.1,973.4,758.58,21.84,,52,55,53.2,Fair,Fair,Fair,156.42599528211414,973.4,574.2,,
Butta Dam,23.3997,68.8699,Irrigation,Local Stream,Abdasa,Kachchh,28.0,,Earthen,668.0,12.2,0.0,5,Luvisols,Fluvisols,,,,655.2,514.9,655.2,622.4,730.0,635.54,20.29,,52,55,53.2,Fair,Fair,Fair,78.13832606346261,730.0,514.9,,
Chachka Dam,22.4277,71.6655,Irrigation,Magadakivehla,Limbdi,Surendranagar,72.0,,Earthen,446.0,11.0,1.8018,3,Vertisols,Cambisols,,,,964.6,979.6,928.9,660.9,1493.2,1005.44,20.04,,75,55,67.0,Good,Fair,Moderate,301.99818376937304,1493.2,660.9,,
Chandrabhaga Dam,23.3044,70.3508,Irrigation,Chandrabhaga,Dhrangadhra,Surendranagar,47.0,,Earthen,1982.0,15.0,0.9009,5,Vertisols,Arenosols,,,,718.7,662.2,800.2,695.9,771.2,729.64,18.37,,62,60,61.2,Moderate,Moderate,Moderate,55.928910234332314,800.2,662.2,,
Chang Dam,23.5102,70.343,Irrigation,Chang,Bhachau,Kachchh,27.0,,Earthen,1440.36,18.31,0.9009,5,Arenosols,Cambisols,,,,769.5,594.8,739.3,666.9,594.0,672.9,19.37,,57,60,58.2,Fair,Moderate,Fair,80.77954567834607,769.5,594.0,,
Chavadka Dam,23.3461,69.3463,Irrigation,Local River,Nakhtarana,Kachchh,100.0,,Earthen,173.3,10.68,0.9009,5,Luvisols,Cambisols,,,,869.1,463.8,642.8,620.9,773.9,674.1,22.18,,60,50,56.0,Moderate,Fair,Fair,154.9363256308862,869.1,463.8,,
ChhaparvadiII Dam,22.0288,70.705,Irrigation,Chhaparwadi,Jetpur,Rajkot,141.0,,Earthen / Gravity & Masonry,471.0,24.09,0.9009,3,Vertisols,Cambisols,,,,1215.1,995.1,766.9,780.9,1487.3,1049.06,18.97,,75,60,69.0,Good,Moderate,Moderate,305.801942439874,1487.3,766.9,,
ChhaparwadiLunivav Dam,22.0288,70.705,Irrigation,Chharwadi,Gondal,Rajkot,141.0,,Earthen / Gravity & Masonry,1984.0,17.0,0.9009,3,Vertisols,Cambisols,,,,1215.1,995.1,766.9,780.9,1487.3,1049.06,18.97,,75,60,69.0,Good,Moderate,Moderate,305.801942439874,1487.3,766.9,,
ChimnabaiLake Dam,23.4875,71.675,Irrigation,Rupen,Kheralu,Mahesana,13.0,,Earthen,4840.0,15.0,1.8018,4,Cambisols,Calcisols,,,,933.5,631.8,813.8,764.8,790.4,786.86,18.3,,58,60,58.8,Fair,Moderate,Fair,108.13398170787943,933.5,631.8,,
Chonda Dam,21.5422,71.7041,Irrigation,,Palitana,Bhavnagar,79.0,,Earthen / Gravity & Masonry,123.0,23.38,0.0,3,Vertisols,Cambisols,,,,1072.8,1120.4,790.2,728.4,1444.8,1031.32,15.54,,75,60,69.0,Good,Moderate,Moderate,287.4547477430143,1444.8,728.4,,
Chopadavav Dam,21.5355,73.7525,Irrigation,Doman,Sagbara,Narmada,186.0,,,1288.0,31.3,0.0,3,Vertisols,Cambisols,,,,1138.4,1340.6,1160.7,1006.5,1688.4,1266.92,13.33,,73,55,65.8,Good,Fair,Moderate,263.9568089669217,1688.4,1006.5,,
Chorwadala Dam,21.6783,71.7797,Irrigation,Local Stream,Sihor,Bhavnagar,84.0,,Earthen / Gravity & Masonry,280.0,18.0,1.8018,3,Vertisols,Cambisols,,,,1095.0,1060.5,823.6,694.8,1457.8,1026.34,16.46,,75,60,69.0,Good,Moderate,Moderate,292.85709484320165,1457.8,694.8,,
Dabahada Dam,22.8436,74.0486,Irrigation,Kotar,Limkheda,dahod,237.0,,Earthen / Gravity & Masonry,614.0,14.0,0.0,3,Vertisols,Luvisols,,,,1116.4,1330.5,980.8,1329.1,1636.0,1278.56,15.93,,72,60,67.2,Good,Moderate,Moderate,248.98408182050514,1636.0,980.8,,
Dabasang Dam,22.2533,69.9094,Irrigation,Veradi,Lalpur,Jamnagar,59.0,,Earthen / Gravity & Masonry,4060.0,18.32,1.8018,4,Vertisols,Cambisols,,,,1176.0,1052.6,785.8,687.0,1313.6,1003.0,21.27,,70,55,64.0,Good,Fair,Moderate,262.6277593857892,1313.6,687.0,,
Dadar Dam,21.8672,70.5266,Irrigation,Tedi,Jam Kandorna,Rajkot,80.0,,Earthen,3111.0,14.5,0.0,3,Vertisols,Cambisols,,,,1327.8,950.4,854.0,835.4,1525.1,1098.54,18.31,,75,60,69.0,Good,Moderate,Moderate,310.44384033187066,1525.1,835.4,,
Daiminisar Dam,21.9027,70.0355,Irrigation,Dai,Jam Jodhpur,Jamnagar,97.0,,Earthen / Gravity & Masonry,3840.0,25.0,0.9009,3,Vertisols,Cambisols,,,,1336.0,898.0,826.6,864.5,1484.0,1081.82,20.34,,75,55,67.0,Good,Fair,Moderate,305.1684977188832,1484.0,826.6,,
Dalvada Dam,22.9108,73.6441,Irrigation,Kotar,Shehera,Panch Mahals,131.0,,Earthen,1610.0,14.2,0.0,3,Vertisols,Luvisols,,,,1359.2,1168.0,914.9,1272.8,1398.9,1222.76,16.75,,75,60,69.0,Good,Moderate,Moderate,193.59856146159768,1398.9,914.9,,
Dangra Dam,22.3858,70.4811,Irrigation,Ghel,Dhrol,Jamnagar,73.0,,Earthen,120.0,13.7,0.0,4,Vertisols,Cambisols,,,,1278.2,1028.5,899.7,710.4,1300.6,1043.48,22.06,,70,55,64.0,Good,Fair,Moderate,251.51717038802738,1300.6,710.4,,
Dantiwada Dam,24.3327,72.3602,"Flood Control,Irrigation",Banas,Dhanera,Banas Kantha,181.0,,Earthen / Gravity & Masonry,4832.0,61.0,0.0,4,Unknown,Unknown,,,,729.4,946.6,984.9,1042.9,782.9,897.34,16.12,,55,65,59.0,Fair,Moderate,Fair,134.7046509961702,1042.9,729.4,,
Daria Dam,21.7133,73.0841,Irrigation,Local Khadi,Jhagadia,Bharuch,2.0,,Earthen,440.0,15.85,0.0,3,Unknown,Unknown,,,,1178.3,1253.8,1211.9,1069.9,1902.7,1323.32,16.61,,58,55,56.8,Fair,Fair,Fair,330.9762559459515,1902.7,1069.9,,
Darsadi Dam,23.033,69.4502,Irrigation,Kharo Chhello,Mandvi,Kachchh,82.0,,Earthen,629.75,13.9,1.8018,5,Unknown,Unknown,,,,1011.1,717.5,815.3,845.7,1119.5,901.82,20.45,,55,60,57.0,Fair,Moderate,Fair,161.1953225127826,1119.5,717.5,,
Debhari Dam,22.75,72.6794,Irrigation,Vahela,Vadasinor,Kheda,20.0,,Earthen,240.0,12.63,0.0,3,Vertisols,Cambisols,,,,1065.6,1071.7,923.3,995.5,1558.6,1122.94,18.47,,72,65,69.2,Good,Moderate,Moderate,250.90343361540508,1558.6,923.3,,
