Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Monsoon Intensity,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Avg_NDVI_Last5Years,Geological_Suitability_Score,Climatic_Effect_Score,Overall_Suitability_Score,Geological_Suitability_Category,Climatic_Effect_Category,Overall_Suitability_Category,Rainfall_StdDev_5yr,Max_Annual_Rainfall,Min_Annual_Rainfall,NDVI_StdDev_5yr,NDVI_Trend_5yr
Surajwadi Dam,21.1988,71.3697,Irrigation,Surajwadi,Kundla,Amreli,125.0,,Gravity & Masonry,1823.0,21.0,0.0,3,Vertisols,Cambisols,"Tapi, River",151.5453,0.0001,968.8,1174.7,707.2,864.0,1127.3,968.4,15.23,,75,80,77.0,Good,Excellent,Good,191.65976364380708,1174.7,707.2,,
Surjumi Dam,22.9355,74.0125,Irrigation,River,Limkheda,dahod,232.0,,Earthen,453.0,19.0,4.5045,3,Vertisols,Luvisols,"Unknown, Lake",25.2885,-0.0004,1150.8,1318.2,987.6,1360.3,1665.0,1296.38,16.13,,69,75,71.4,Moderate,Good,Good,253.46656978781243,1665.0,987.6,,
Surkhan Dam,23.1166,70.028,Irrigation,Surkhan,Anjar,Kachchh,64.0,,Earthen,978.0,20.0,0.9009,5,Vertisols,Luvisols,"Indus, River",261.6797,0.0,710.0,683.0,962.1,671.0,914.7,788.16,22.44,,65,63,64.2,Moderate,Moderate,Moderate,138.88985924105475,962.1,671.0,,
Suvi Dam,23.6086,70.5002,Irrigation,Suvi,Rapar,Kachchh,26.0,,Earthen,2097.0,20.42,1.8018,5,Vertisols,Regosols,"Indus, River",274.3933,-0.0003,695.4,497.4,732.1,620.7,569.0,622.92,19.04,,62,68,64.4,Moderate,Moderate,Moderate,94.65884533417889,732.1,497.4,,
Talvada Dam,23.3252,73.733,Irrigation,Kotar,Santrampur,Panch Mahals,132.0,,Earthen,312.0,21.5,0.0,3,Vertisols,Luvisols,"Mahi, River",9.3723,0.0002,901.8,1323.2,917.6,1344.7,1471.5,1191.76,16.55,,75,85,79.0,Good,Excellent,Good,263.7053715797235,1471.5,901.8,,
Tappar Dam,23.2583,70.1433,Irrigation,Sakara,Anjar,Kachchh,39.0,,Earthen,4573.0,31.7,0.0,5,Vertisols,Luvisols,"Indus, River",263.263,0.0001,685.0,644.4,976.0,658.5,814.4,755.66,21.37,,60,68,63.2,Moderate,Moderate,Moderate,140.36718989849444,976.0,644.4,,
TaraManjal Dam,23.2341,69.4041,Irrigation,Local River,Nakhtarana,Kachchh,165.0,,Earthen,167.68,11.89,1.8018,5,Luvisols,Vertisols,"Indus, River",202.085,0.0,838.6,525.2,647.6,659.0,838.9,701.86,21.11,,65,63,64.2,Moderate,Moderate,Moderate,135.5246029324565,838.9,525.2,,
Targol Dam,22.3397,73.6605,Irrigation,Kotal,Sankheda,Vadodara,110.0,,Earthen,383.0,13.72,0.0,3,Unknown,Unknown,"Narmada, River",44.8729,0.0001,1189.1,1187.7,1180.1,1188.3,1638.7,1276.78,15.31,,65,80,71.0,Moderate,Excellent,Good,202.3517037239865,1638.7,1180.1,,
Thanagalol Dam,21.6955,70.688,Irrigation,Saloliavenkala,Jetpur,Rajkot,98.0,,Earthen,1913.0,13.0,2.7027,3,Vertisols,Luvisols,"Tapi, River",227.2465,0.0001,1247.4,1182.7,790.8,945.9,1374.5,1108.26,19.84,,72,78,74.4,Good,Good,Good,236.07552393249077,1374.5,790.8,,
Tharawada Dam,23.3438,69.3977,Irrigation,Local River,Nakhtarana,Kachchh,103.0,,Earthen,581.0,17.2,1.8018,5,Luvisols,Fluvisols,"Indus, River",194.1681,0.0,869.1,463.8,642.8,620.9,773.9,674.1,22.18,,55,60,57.0,Fair,Moderate,Fair,154.9363256308862,869.1,463.8,,
Thebi Dam,21.6233,71.2133,Irrigation,Thebi,Amreli,Amreli,119.0,,Earthen,4950.23,21.05,1.8018,3,Vertisols,Cambisols,"Tapi, River",172.5408,0.0001,1070.7,1124.8,682.9,673.2,1245.6,959.44,17.08,,75,75,75.0,Good,Good,Good,264.58362194209974,1245.6,673.2,,
Thikariyala Dam,22.4111,71.0905,Irrigation,T/Machhu,Wankaner,Rajkot,194.0,,Earthen,651.0,13.2,5.4054,3,Vertisols,Cambisols,"Mahi, River",204.3138,0.0,991.1,1019.9,818.1,663.6,1490.1,996.56,18.79,,68,68,68.0,Moderate,Moderate,Moderate,310.9930192142582,1490.1,663.6,,
Thol Dam,23.148,72.4013,,,Kadi,Mahesana,49.0,,,,,2.7027,3,Vertisols,Cambisols,"Mahi, River",104.6683,0.0,1145.0,1063.1,998.5,1042.0,1239.7,1097.66,19.36,,59,75,65.4,Fair,Good,Moderate,95.5792498401196,1239.7,998.5,,
Thoralia Mi Dam,21.5111,71.9622,Irrigation,T/Shetrunji,Sihor,Bhavnagar,65.0,,Earthen,640.0,18.0,0.0,3,Vertisols,Cambisols,"Tapi, River",94.5792,0.0001,920.8,1327.5,773.9,835.9,1416.9,1055.0,15.45,,75,78,76.2,Good,Good,Good,295.9136360494393,1416.9,773.9,,
Toda Dam,21.6127,71.8836,Irrigation,Local Nala,Sihor,Bhavnagar,96.0,,Earthen,940.0,17.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",106.1016,0.0001,981.1,1150.6,796.1,707.7,1393.8,1005.86,16.61,,75,75,75.0,Good,Good,Good,276.11537986863385,1393.8,707.7,,
TrivniTranga Dam,22.4238,71.1863,Irrigation,Jamburi,Chotila,Surendranagar,195.0,,Earthen,1290.0,13.6,0.0,3,Vertisols,Cambisols,"Mahi, River",194.4392,0.0,950.7,966.0,752.8,639.5,1411.9,944.18,18.64,,75,70,73.0,Good,Good,Good,295.26971907054747,1411.9,639.5,,
Turkha Dam,22.1705,71.6538,Irrigation,Localnalla,Botad,Bhavnagar,91.0,,Earthen,1041.0,16.0,0.0,3,Vertisols,Cambisols,"Mahi, River",149.6143,0.0,860.8,899.9,748.4,700.7,1690.0,979.96,18.22,,75,65,71.0,Good,Moderate,Good,405.0838468761745,1690.0,700.7,,
Uben Dam,21.6286,70.6311,Irrigation,Uben,Bhesan Mahal,Junagadh,95.0,,Earthen,4665.0,18.87,2.7027,3,Vertisols,Cambisols,"Tapi, River",231.5715,0.0001,1247.7,1118.6,844.7,1033.8,1292.0,1107.36,18.92,,72,78,74.4,Good,Good,Good,179.1053684287548,1292.0,844.7,,
Ukai Dam,21.2494,73.5908,"Flood Control,Hydroelectric,Irrigation",Tapi,Songadh,Tapi,50.0,,Earthen / Gravity & Masonry,4927.0,81.0,0.0,3,Leptosols,Vertisols,"Ukai, Reservoir ",14.6145,0.002,1206.3,1829.7,1344.2,1007.2,1777.6,1433.0,15.96,,70,73,71.2,Good,Good,Good,359.41063562449006,1829.7,1007.2,,
Uma Sagar Dam,21.8802,70.0983,,,Jam Jodhpur,Jamnagar,64.0,,,,,0.0,3,Vertisols,Cambisols,"Tapi, River",291.1829,0.0001,1346.4,861.5,792.3,759.0,1499.9,1051.82,20.02,,65,68,66.2,Moderate,Moderate,Moderate,345.2784919452702,1499.9,759.0,,
Umarala Dam,22.0302,70.3061,Irrigation,Local Voklo,Kalavad,Jamnagar,122.0,,Earthen,80.0,14.8,0.9009,3,Vertisols,Cambisols,"Tapi, River",275.06,0.0001,1242.8,965.6,830.0,629.3,1372.3,1008.0,19.16,,75,73,74.2,Good,Good,Good,301.96894707900015,1372.3,629.3,,
Umaria Dam,22.7736,74.0666,Irrigation,Hadaf,Limkheda,dahod,290.0,,Earthen,41.0,22.0,18.018,3,Luvisols,Regosols,"Unknown, Lake",10.539,-0.0004,1130.8,1313.2,927.2,1297.7,1530.2,1239.82,16.02,,52,75,61.2,Fair,Good,Moderate,225.09547307753658,1530.2,927.2,,
Umrapar Dam,23.4475,69.2013,Irrigation,Parelwari Nadi,Nakhtarana,Kachchh,65.0,,Earthen,1104.0,27.05,0.0,5,Cambisols,Luvisols,"Indus, River",171.1894,0.0,699.4,415.9,609.6,586.5,754.9,613.26,21.67,,60,65,62.0,Moderate,Moderate,Moderate,129.57859776984776,754.9,415.9,,
Umri Dam,24.193,72.7658,Irrigation,T/Sabarmati,Danta,Banas Kantha,272.0,,Earthen,154.0,17.0,10.8108,3,Vertisols,Luvisols,"Som Kahmla, River",125.2381,-0.0002,790.7,977.7,1045.5,1035.0,1049.0,979.58,14.71,,62,70,65.2,Moderate,Good,Moderate,109.4476450180633,1049.0,790.7,,
Und I Dam,22.4055,70.4038,Irrigation,Und,Dhrol,Jamnagar,46.0,,Earthen / Gravity & Masonry,6198.0,25.45,8.1081,4,Vertisols,Cambisols,"Mahi, River",274.9001,0.0,1278.2,1028.5,899.7,710.4,1300.6,1043.48,22.06,,60,63,61.2,Moderate,Moderate,Moderate,251.51717038802738,1300.6,710.4,,
Und II(Gunatit Sarover) Dam,22.6349,70.3616,Irrigation,Und,Jodiya,Jamnagar,10.0,,Earthen,3490.0,18.75,0.0,4,Unknown,Unknown,"Mahi, River",279.7884,0.0,1194.5,943.5,1007.0,714.6,1215.9,1015.1,21.4,,53,68,59.0,Fair,Moderate,Fair,204.93744167428267,1215.9,714.6,,
